[AUDIT] ⚠️  Value 1.570796 out of range, clamping
[AUDIT] ⚠️  Value 1.506157 out of range, clamping
[AUDIT] ⚠️  Value 1.504651 out of range, clamping
[AUDIT] ⚠️  Value 1.503147 out of range, clamping
[AUDIT] ⚠️  Value 1.501644 out of range, clamping
[AUDIT] ⚠️  Value 1.500142 out of range, clamping
[AUDIT] ⚠️  Value 1.498642 out of range, clamping
[AUDIT] ⚠️  Value 1.497143 out of range, clamping
[AUDIT] ⚠️  Value 1.495646 out of range, clamping
[AUDIT] ⚠️  Value 1.494150 out of range, clamping
[AUDIT] ⚠️  Value 1.492656 out of range, clamping
[AUDIT] ⚠️  Value 1.491164 out of range, clamping
[AUDIT] ⚠️  Value 1.489672 out of range, clamping
[AUDIT] ⚠️  Value 1.488183 out of range, clamping
[AUDIT] ⚠️  Value 1.486694 out of range, clamping
[AUDIT] ⚠️  Value 1.485208 out of range, clamping
[AUDIT] ⚠️  Value 1.483723 out of range, clamping
[AUDIT] ⚠️  Value 1.482239 out of range, clamping
[AUDIT] ⚠️  Value 1.480757 out of range, clamping
[AUDIT] ⚠️  Value 1.479276 out of range, clamping
[AUDIT] ⚠️  Value 1.477797 out of range, clamping
[AUDIT] ⚠️  Value 1.476319 out of range, clamping
[AUDIT] ⚠️  Value 1.474842 out of range, clamping
[AUDIT] ⚠️  Value 1.473368 out of range, clamping
[AUDIT] ⚠️  Value 1.471894 out of range, clamping
[AUDIT] ⚠️  Value 1.470422 out of range, clamping
[AUDIT] ⚠️  Value 1.468952 out of range, clamping
[AUDIT] ⚠️  Value 1.467483 out of range, clamping
[AUDIT] ⚠️  Value 1.466016 out of range, clamping
[AUDIT] ⚠️  Value 1.464549 out of range, clamping
[AUDIT] ⚠️  Value 1.463085 out of range, clamping
[AUDIT] ⚠️  Value 1.461622 out of range, clamping
[AUDIT] ⚠️  Value 1.460160 out of range, clamping
[AUDIT] ⚠️  Value 1.458700 out of range, clamping
[AUDIT] ⚠️  Value 1.457241 out of range, clamping
[AUDIT] ⚠️  Value 1.455784 out of range, clamping
[AUDIT] ⚠️  Value 1.454328 out of range, clamping
[AUDIT] ⚠️  Value 1.452874 out of range, clamping
[AUDIT] ⚠️  Value 1.451421 out of range, clamping
[AUDIT] ⚠️  Value 1.449970 out of range, clamping
[AUDIT] ⚠️  Value 1.448520 out of range, clamping
[AUDIT] ⚠️  Value 1.447071 out of range, clamping
[AUDIT] ⚠️  Value 1.445624 out of range, clamping
[AUDIT] ⚠️  Value 1.444179 out of range, clamping
[AUDIT] ⚠️  Value 1.442734 out of range, clamping
[AUDIT] ⚠️  Value 1.441292 out of range, clamping
[AUDIT] ⚠️  Value 1.439850 out of range, clamping
[AUDIT] ⚠️  Value 1.438410 out of range, clamping
[AUDIT] ⚠️  Value 1.436972 out of range, clamping
[AUDIT] ⚠️  Value 1.435535 out of range, clamping
[AUDIT] ⚠️  Value 1.434100 out of range, clamping
[AUDIT] ⚠️  Value 1.432665 out of range, clamping
[AUDIT] ⚠️  Value 1.431233 out of range, clamping
[AUDIT] ⚠️  Value 1.429802 out of range, clamping
[AUDIT] ⚠️  Value 1.428372 out of range, clamping
[AUDIT] ⚠️  Value 1.426943 out of range, clamping
[AUDIT] ⚠️  Value 1.425516 out of range, clamping
[AUDIT] ⚠️  Value 1.424091 out of range, clamping
[AUDIT] ⚠️  Value 1.422667 out of range, clamping
[AUDIT] ⚠️  Value 1.421244 out of range, clamping
[AUDIT] ⚠️  Value 1.419823 out of range, clamping
[AUDIT] ⚠️  Value 1.418403 out of range, clamping
[AUDIT] ⚠️  Value 1.416985 out of range, clamping
[AUDIT] ⚠️  Value 1.415568 out of range, clamping
[AUDIT] ⚠️  Value 1.414152 out of range, clamping
[AUDIT] ⚠️  Value 1.412738 out of range, clamping
[AUDIT] ⚠️  Value 1.411325 out of range, clamping
[AUDIT] ⚠️  Value 1.409914 out of range, clamping
[AUDIT] ⚠️  Value 1.408504 out of range, clamping
[AUDIT] ⚠️  Value 1.407096 out of range, clamping
[AUDIT] ⚠️  Value 1.405688 out of range, clamping
[AUDIT] ⚠️  Value 1.404283 out of range, clamping
[AUDIT] ⚠️  Value 1.402878 out of range, clamping
[AUDIT] ⚠️  Value 1.401476 out of range, clamping
[AUDIT] ⚠️  Value 1.400074 out of range, clamping
[AUDIT] ⚠️  Value 1.398674 out of range, clamping
[AUDIT] ⚠️  Value 1.397275 out of range, clamping
[AUDIT] ⚠️  Value 1.395878 out of range, clamping
[AUDIT] ⚠️  Value 1.394482 out of range, clamping
[AUDIT] ⚠️  Value 1.393088 out of range, clamping
[AUDIT] ⚠️  Value 1.391695 out of range, clamping
[AUDIT] ⚠️  Value 1.390303 out of range, clamping
[AUDIT] ⚠️  Value 1.388913 out of range, clamping
[AUDIT] ⚠️  Value 1.387524 out of range, clamping
[AUDIT] ⚠️  Value 1.386136 out of range, clamping
[AUDIT] ⚠️  Value 1.384750 out of range, clamping
[AUDIT] ⚠️  Value 1.383365 out of range, clamping
[AUDIT] ⚠️  Value 1.381982 out of range, clamping
[AUDIT] ⚠️  Value 1.380600 out of range, clamping
[AUDIT] ⚠️  Value 1.379219 out of range, clamping
[AUDIT] ⚠️  Value 1.377840 out of range, clamping
[AUDIT] ⚠️  Value 1.376462 out of range, clamping
[AUDIT] ⚠️  Value 1.375086 out of range, clamping
[AUDIT] ⚠️  Value 1.373711 out of range, clamping
[AUDIT] ⚠️  Value 1.372337 out of range, clamping
[AUDIT] ⚠️  Value 1.370965 out of range, clamping
[AUDIT] ⚠️  Value 1.369594 out of range, clamping
[AUDIT] ⚠️  Value 1.368224 out of range, clamping
[AUDIT] ⚠️  Value 1.366856 out of range, clamping
[AUDIT] ⚠️  Value 1.365489 out of range, clamping
[AUDIT] ⚠️  Value 1.364124 out of range, clamping
[AUDIT] ⚠️  Value 1.362759 out of range, clamping
[AUDIT] ⚠️  Value 1.361397 out of range, clamping
[AUDIT] ⚠️  Value 1.360035 out of range, clamping
[AUDIT] ⚠️  Value 1.358675 out of range, clamping
[AUDIT] ⚠️  Value 1.357317 out of range, clamping
[AUDIT] ⚠️  Value 1.355959 out of range, clamping
[AUDIT] ⚠️  Value 1.354603 out of range, clamping
[AUDIT] ⚠️  Value 1.353249 out of range, clamping
[AUDIT] ⚠️  Value 1.351895 out of range, clamping
[AUDIT] ⚠️  Value 1.350544 out of range, clamping
[AUDIT] ⚠️  Value 1.349193 out of range, clamping
[AUDIT] ⚠️  Value 1.347844 out of range, clamping
[AUDIT] ⚠️  Value 1.346496 out of range, clamping
[AUDIT] ⚠️  Value 1.345149 out of range, clamping
[AUDIT] ⚠️  Value 1.343804 out of range, clamping
[AUDIT] ⚠️  Value 1.342461 out of range, clamping
[AUDIT] ⚠️  Value 1.341118 out of range, clamping
[AUDIT] ⚠️  Value 1.339777 out of range, clamping
[AUDIT] ⚠️  Value 1.338437 out of range, clamping
[AUDIT] ⚠️  Value 1.337099 out of range, clamping
[AUDIT] ⚠️  Value 1.335762 out of range, clamping
[AUDIT] ⚠️  Value 1.334426 out of range, clamping
[AUDIT] ⚠️  Value 1.333091 out of range, clamping
[AUDIT] ⚠️  Value 1.331758 out of range, clamping
[AUDIT] ⚠️  Value 1.330427 out of range, clamping
[AUDIT] ⚠️  Value 1.329096 out of range, clamping
[AUDIT] ⚠️  Value 1.327767 out of range, clamping
[AUDIT] ⚠️  Value 1.326439 out of range, clamping
[AUDIT] ⚠️  Value 1.325113 out of range, clamping
[AUDIT] ⚠️  Value 1.323788 out of range, clamping
[AUDIT] ⚠️  Value 1.322464 out of range, clamping
[AUDIT] ⚠️  Value 1.321142 out of range, clamping
[AUDIT] ⚠️  Value 1.319820 out of range, clamping
[AUDIT] ⚠️  Value 1.318501 out of range, clamping
[AUDIT] ⚠️  Value 1.317182 out of range, clamping
[AUDIT] ⚠️  Value 1.315865 out of range, clamping
[AUDIT] ⚠️  Value 1.314549 out of range, clamping
[AUDIT] ⚠️  Value 1.313234 out of range, clamping
[AUDIT] ⚠️  Value 1.311921 out of range, clamping
[AUDIT] ⚠️  Value 1.310609 out of range, clamping
[AUDIT] ⚠️  Value 1.309299 out of range, clamping
[AUDIT] ⚠️  Value 1.307989 out of range, clamping
[AUDIT] ⚠️  Value 1.306681 out of range, clamping
[AUDIT] ⚠️  Value 1.305375 out of range, clamping
[AUDIT] ⚠️  Value 1.304069 out of range, clamping
[AUDIT] ⚠️  Value 1.302765 out of range, clamping
[AUDIT] ⚠️  Value 1.301463 out of range, clamping
[AUDIT] ⚠️  Value 1.300161 out of range, clamping
[AUDIT] ⚠️  Value 1.298861 out of range, clamping
[AUDIT] ⚠️  Value 1.297562 out of range, clamping
[AUDIT] ⚠️  Value 1.296264 out of range, clamping
[AUDIT] ⚠️  Value 1.294968 out of range, clamping
[AUDIT] ⚠️  Value 1.293673 out of range, clamping
[AUDIT] ⚠️  Value 1.292380 out of range, clamping
[AUDIT] ⚠️  Value 1.291087 out of range, clamping
[AUDIT] ⚠️  Value 1.289796 out of range, clamping
[AUDIT] ⚠️  Value 1.288506 out of range, clamping
[AUDIT] ⚠️  Value 1.287218 out of range, clamping
[AUDIT] ⚠️  Value 1.285931 out of range, clamping
[AUDIT] ⚠️  Value 1.284645 out of range, clamping
[AUDIT] ⚠️  Value 1.283360 out of range, clamping
[AUDIT] ⚠️  Value 1.282077 out of range, clamping
[AUDIT] ⚠️  Value 1.280795 out of range, clamping
[AUDIT] ⚠️  Value 1.279514 out of range, clamping
[AUDIT] ⚠️  Value 1.278234 out of range, clamping
[AUDIT] ⚠️  Value 1.276956 out of range, clamping
[AUDIT] ⚠️  Value 1.275679 out of range, clamping
[AUDIT] ⚠️  Value 1.274403 out of range, clamping
[AUDIT] ⚠️  Value 1.273129 out of range, clamping
[AUDIT] ⚠️  Value 1.271856 out of range, clamping
[AUDIT] ⚠️  Value 1.270584 out of range, clamping
[AUDIT] ⚠️  Value 1.269313 out of range, clamping
[AUDIT] ⚠️  Value 1.268044 out of range, clamping
[AUDIT] ⚠️  Value 1.266776 out of range, clamping
[AUDIT] ⚠️  Value 1.265509 out of range, clamping
[AUDIT] ⚠️  Value 1.264244 out of range, clamping
[AUDIT] ⚠️  Value 1.262980 out of range, clamping
[AUDIT] ⚠️  Value 1.261717 out of range, clamping
[AUDIT] ⚠️  Value 1.260455 out of range, clamping
[AUDIT] ⚠️  Value 1.259194 out of range, clamping
[AUDIT] ⚠️  Value 1.257935 out of range, clamping
[AUDIT] ⚠️  Value 1.256677 out of range, clamping
[AUDIT] ⚠️  Value 1.255421 out of range, clamping
[AUDIT] ⚠️  Value 1.254165 out of range, clamping
[AUDIT] ⚠️  Value 1.252911 out of range, clamping
[AUDIT] ⚠️  Value 1.251658 out of range, clamping
[AUDIT] ⚠️  Value 1.250406 out of range, clamping
[AUDIT] ⚠️  Value 1.249156 out of range, clamping
[AUDIT] ⚠️  Value 1.247907 out of range, clamping
[AUDIT] ⚠️  Value 1.246659 out of range, clamping
[AUDIT] ⚠️  Value 1.245412 out of range, clamping
[AUDIT] ⚠️  Value 1.244167 out of range, clamping
[AUDIT] ⚠️  Value 1.242923 out of range, clamping
[AUDIT] ⚠️  Value 1.241680 out of range, clamping
[AUDIT] ⚠️  Value 1.240438 out of range, clamping
[AUDIT] ⚠️  Value 1.239198 out of range, clamping
[AUDIT] ⚠️  Value 1.237958 out of range, clamping
[AUDIT] ⚠️  Value 1.236721 out of range, clamping
[AUDIT] ⚠️  Value 1.235484 out of range, clamping
[AUDIT] ⚠️  Value 1.234248 out of range, clamping
[AUDIT] ⚠️  Value 1.233014 out of range, clamping
[AUDIT] ⚠️  Value 1.231781 out of range, clamping
[AUDIT] ⚠️  Value 1.230549 out of range, clamping
[AUDIT] ⚠️  Value 1.229319 out of range, clamping
[AUDIT] ⚠️  Value 1.228089 out of range, clamping
[AUDIT] ⚠️  Value 1.226861 out of range, clamping
[AUDIT] ⚠️  Value 1.225634 out of range, clamping
[AUDIT] ⚠️  Value 1.224409 out of range, clamping
[AUDIT] ⚠️  Value 1.223184 out of range, clamping
[AUDIT] ⚠️  Value 1.221961 out of range, clamping
[AUDIT] ⚠️  Value 1.220739 out of range, clamping
[AUDIT] ⚠️  Value 1.219519 out of range, clamping
[AUDIT] ⚠️  Value 1.218299 out of range, clamping
[AUDIT] ⚠️  Value 1.217081 out of range, clamping
[AUDIT] ⚠️  Value 1.215864 out of range, clamping
[AUDIT] ⚠️  Value 1.214648 out of range, clamping
[AUDIT] ⚠️  Value 1.213433 out of range, clamping
[AUDIT] ⚠️  Value 1.212220 out of range, clamping
[AUDIT] ⚠️  Value 1.211007 out of range, clamping
[AUDIT] ⚠️  Value 1.209796 out of range, clamping
[AUDIT] ⚠️  Value 1.208587 out of range, clamping
[AUDIT] ⚠️  Value 1.207378 out of range, clamping
[AUDIT] ⚠️  Value 1.206171 out of range, clamping
[AUDIT] ⚠️  Value 1.204965 out of range, clamping
[AUDIT] ⚠️  Value 1.203760 out of range, clamping
[AUDIT] ⚠️  Value 1.202556 out of range, clamping
[AUDIT] ⚠️  Value 1.201353 out of range, clamping
[AUDIT] ⚠️  Value 1.200152 out of range, clamping
[AUDIT] ⚠️  Value 1.198952 out of range, clamping
[AUDIT] ⚠️  Value 1.197753 out of range, clamping
[AUDIT] ⚠️  Value 1.196555 out of range, clamping
[AUDIT] ⚠️  Value 1.195358 out of range, clamping
[AUDIT] ⚠️  Value 1.194163 out of range, clamping
[AUDIT] ⚠️  Value 1.192969 out of range, clamping
[AUDIT] ⚠️  Value 1.191776 out of range, clamping
[AUDIT] ⚠️  Value 1.190584 out of range, clamping
[AUDIT] ⚠️  Value 1.189394 out of range, clamping
[AUDIT] ⚠️  Value 1.188204 out of range, clamping
[AUDIT] ⚠️  Value 1.187016 out of range, clamping
[AUDIT] ⚠️  Value 1.185829 out of range, clamping
[AUDIT] ⚠️  Value 1.184643 out of range, clamping
[AUDIT] ⚠️  Value 1.183459 out of range, clamping
[AUDIT] ⚠️  Value 1.182275 out of range, clamping
[AUDIT] ⚠️  Value 1.181093 out of range, clamping
[AUDIT] ⚠️  Value 1.179912 out of range, clamping
[AUDIT] ⚠️  Value 1.178732 out of range, clamping
[AUDIT] ⚠️  Value 1.177553 out of range, clamping
[AUDIT] ⚠️  Value 1.176376 out of range, clamping
[AUDIT] ⚠️  Value 1.175199 out of range, clamping
[AUDIT] ⚠️  Value 1.174024 out of range, clamping
[AUDIT] ⚠️  Value 1.172850 out of range, clamping
[AUDIT] ⚠️  Value 1.171677 out of range, clamping
[AUDIT] ⚠️  Value 1.170505 out of range, clamping
[AUDIT] ⚠️  Value 1.169335 out of range, clamping
[AUDIT] ⚠️  Value 1.168166 out of range, clamping
[AUDIT] ⚠️  Value 1.166997 out of range, clamping
[AUDIT] ⚠️  Value 1.165830 out of range, clamping
[AUDIT] ⚠️  Value 1.164665 out of range, clamping
[AUDIT] ⚠️  Value 1.163500 out of range, clamping
[AUDIT] ⚠️  Value 1.162336 out of range, clamping
[AUDIT] ⚠️  Value 1.161174 out of range, clamping
[AUDIT] ⚠️  Value 1.160013 out of range, clamping
[AUDIT] ⚠️  Value 1.158853 out of range, clamping
[AUDIT] ⚠️  Value 1.157694 out of range, clamping
[AUDIT] ⚠️  Value 1.156536 out of range, clamping
[AUDIT] ⚠️  Value 1.155380 out of range, clamping
[AUDIT] ⚠️  Value 1.154224 out of range, clamping
[AUDIT] ⚠️  Value 1.153070 out of range, clamping
[AUDIT] ⚠️  Value 1.151917 out of range, clamping
[AUDIT] ⚠️  Value 1.150765 out of range, clamping
[AUDIT] ⚠️  Value 1.149614 out of range, clamping
[AUDIT] ⚠️  Value 1.148465 out of range, clamping
[AUDIT] ⚠️  Value 1.147316 out of range, clamping
[AUDIT] ⚠️  Value 1.146169 out of range, clamping
[AUDIT] ⚠️  Value 1.145023 out of range, clamping
[AUDIT] ⚠️  Value 1.143878 out of range, clamping
[AUDIT] ⚠️  Value 1.142734 out of range, clamping
[AUDIT] ⚠️  Value 1.141591 out of range, clamping
[AUDIT] ⚠️  Value 1.140450 out of range, clamping
[AUDIT] ⚠️  Value 1.139309 out of range, clamping
[AUDIT] ⚠️  Value 1.138170 out of range, clamping
[AUDIT] ⚠️  Value 1.137032 out of range, clamping
[AUDIT] ⚠️  Value 1.135895 out of range, clamping
[AUDIT] ⚠️  Value 1.134759 out of range, clamping
[AUDIT] ⚠️  Value 1.133624 out of range, clamping
[AUDIT] ⚠️  Value 1.132490 out of range, clamping
[AUDIT] ⚠️  Value 1.131358 out of range, clamping
[AUDIT] ⚠️  Value 1.130227 out of range, clamping
[AUDIT] ⚠️  Value 1.129096 out of range, clamping
[AUDIT] ⚠️  Value 1.127967 out of range, clamping
[AUDIT] ⚠️  Value 1.126839 out of range, clamping
[AUDIT] ⚠️  Value 1.125712 out of range, clamping
[AUDIT] ⚠️  Value 1.124587 out of range, clamping
[AUDIT] ⚠️  Value 1.123462 out of range, clamping
[AUDIT] ⚠️  Value 1.122339 out of range, clamping
[AUDIT] ⚠️  Value 1.121216 out of range, clamping
[AUDIT] ⚠️  Value 1.120095 out of range, clamping
[AUDIT] ⚠️  Value 1.118975 out of range, clamping
[AUDIT] ⚠️  Value 1.117856 out of range, clamping
[AUDIT] ⚠️  Value 1.116738 out of range, clamping
[AUDIT] ⚠️  Value 1.115621 out of range, clamping
[AUDIT] ⚠️  Value 1.114506 out of range, clamping
[AUDIT] ⚠️  Value 1.113391 out of range, clamping
[AUDIT] ⚠️  Value 1.112278 out of range, clamping
[AUDIT] ⚠️  Value 1.111166 out of range, clamping
[AUDIT] ⚠️  Value 1.110054 out of range, clamping
[AUDIT] ⚠️  Value 1.108944 out of range, clamping
[AUDIT] ⚠️  Value 1.107835 out of range, clamping
[AUDIT] ⚠️  Value 1.106728 out of range, clamping
[AUDIT] ⚠️  Value 1.105621 out of range, clamping
[AUDIT] ⚠️  Value 1.104515 out of range, clamping
[AUDIT] ⚠️  Value 1.103411 out of range, clamping
[AUDIT] ⚠️  Value 1.102307 out of range, clamping
[AUDIT] ⚠️  Value 1.101205 out of range, clamping
[AUDIT] ⚠️  Value 1.100104 out of range, clamping
[AUDIT] ⚠️  Value 1.099004 out of range, clamping
[AUDIT] ⚠️  Value 1.097905 out of range, clamping
[AUDIT] ⚠️  Value 1.096807 out of range, clamping
[AUDIT] ⚠️  Value 1.095710 out of range, clamping
[AUDIT] ⚠️  Value 1.094614 out of range, clamping
[AUDIT] ⚠️  Value 1.093520 out of range, clamping
[AUDIT] ⚠️  Value 1.092426 out of range, clamping
[AUDIT] ⚠️  Value 1.091334 out of range, clamping
[AUDIT] ⚠️  Value 1.090242 out of range, clamping
[AUDIT] ⚠️  Value 1.089152 out of range, clamping
[AUDIT] ⚠️  Value 1.088063 out of range, clamping
[AUDIT] ⚠️  Value 1.086975 out of range, clamping
[AUDIT] ⚠️  Value 1.085888 out of range, clamping
[AUDIT] ⚠️  Value 1.084802 out of range, clamping
[AUDIT] ⚠️  Value 1.083717 out of range, clamping
[AUDIT] ⚠️  Value 1.082634 out of range, clamping
[AUDIT] ⚠️  Value 1.081551 out of range, clamping
[AUDIT] ⚠️  Value 1.080469 out of range, clamping
[AUDIT] ⚠️  Value 1.079389 out of range, clamping
[AUDIT] ⚠️  Value 1.078310 out of range, clamping
[AUDIT] ⚠️  Value 1.077231 out of range, clamping
[AUDIT] ⚠️  Value 1.076154 out of range, clamping
[AUDIT] ⚠️  Value 1.075078 out of range, clamping
[AUDIT] ⚠️  Value 1.074003 out of range, clamping
[AUDIT] ⚠️  Value 1.072929 out of range, clamping
[AUDIT] ⚠️  Value 1.071856 out of range, clamping
[AUDIT] ⚠️  Value 1.070784 out of range, clamping
[AUDIT] ⚠️  Value 1.069713 out of range, clamping
[AUDIT] ⚠️  Value 1.068643 out of range, clamping
[AUDIT] ⚠️  Value 1.067575 out of range, clamping
[AUDIT] ⚠️  Value 1.066507 out of range, clamping
[AUDIT] ⚠️  Value 1.065441 out of range, clamping
[AUDIT] ⚠️  Value 1.064375 out of range, clamping
[AUDIT] ⚠️  Value 1.063311 out of range, clamping
[AUDIT] ⚠️  Value 1.062248 out of range, clamping
[AUDIT] ⚠️  Value 1.061185 out of range, clamping
[AUDIT] ⚠️  Value 1.060124 out of range, clamping
[AUDIT] ⚠️  Value 1.059064 out of range, clamping
[AUDIT] ⚠️  Value 1.058005 out of range, clamping
[AUDIT] ⚠️  Value 1.056947 out of range, clamping
[AUDIT] ⚠️  Value 1.055890 out of range, clamping
[AUDIT] ⚠️  Value 1.054834 out of range, clamping
[AUDIT] ⚠️  Value 1.053779 out of range, clamping
[AUDIT] ⚠️  Value 1.052726 out of range, clamping
[AUDIT] ⚠️  Value 1.051673 out of range, clamping
[AUDIT] ⚠️  Value 1.050621 out of range, clamping
[AUDIT] ⚠️  Value 1.049571 out of range, clamping
[AUDIT] ⚠️  Value 1.048521 out of range, clamping
[AUDIT] ⚠️  Value 1.047472 out of range, clamping
[AUDIT] ⚠️  Value 1.046425 out of range, clamping
[AUDIT] ⚠️  Value 1.045379 out of range, clamping
[AUDIT] ⚠️  Value 1.044333 out of range, clamping
[AUDIT] ⚠️  Value 1.043289 out of range, clamping
[AUDIT] ⚠️  Value 1.042246 out of range, clamping
[AUDIT] ⚠️  Value 1.041203 out of range, clamping
[AUDIT] ⚠️  Value 1.040162 out of range, clamping
[AUDIT] ⚠️  Value 1.039122 out of range, clamping
[AUDIT] ⚠️  Value 1.038083 out of range, clamping
[AUDIT] ⚠️  Value 1.037045 out of range, clamping
[AUDIT] ⚠️  Value 1.036008 out of range, clamping
[AUDIT] ⚠️  Value 1.034972 out of range, clamping
[AUDIT] ⚠️  Value 1.033937 out of range, clamping
[AUDIT] ⚠️  Value 1.032903 out of range, clamping
[AUDIT] ⚠️  Value 1.031870 out of range, clamping
[AUDIT] ⚠️  Value 1.030838 out of range, clamping
[AUDIT] ⚠️  Value 1.029807 out of range, clamping
[AUDIT] ⚠️  Value 1.028777 out of range, clamping
[AUDIT] ⚠️  Value 1.027749 out of range, clamping
[AUDIT] ⚠️  Value 1.026721 out of range, clamping
[AUDIT] ⚠️  Value 1.025694 out of range, clamping
[AUDIT] ⚠️  Value 1.024668 out of range, clamping
[AUDIT] ⚠️  Value 1.023644 out of range, clamping
[AUDIT] ⚠️  Value 1.022620 out of range, clamping
[AUDIT] ⚠️  Value 1.021597 out of range, clamping
[AUDIT] ⚠️  Value 1.020576 out of range, clamping
[AUDIT] ⚠️  Value 1.019555 out of range, clamping
[AUDIT] ⚠️  Value 1.018536 out of range, clamping
[AUDIT] ⚠️  Value 1.017517 out of range, clamping
[AUDIT] ⚠️  Value 1.016500 out of range, clamping
[AUDIT] ⚠️  Value 1.015483 out of range, clamping
[AUDIT] ⚠️  Value 1.014468 out of range, clamping
[AUDIT] ⚠️  Value 1.013453 out of range, clamping
[AUDIT] ⚠️  Value 1.012440 out of range, clamping
[AUDIT] ⚠️  Value 1.011427 out of range, clamping
[AUDIT] ⚠️  Value 1.010416 out of range, clamping
[AUDIT] ⚠️  Value 1.009406 out of range, clamping
[AUDIT] ⚠️  Value 1.008396 out of range, clamping
[AUDIT] ⚠️  Value 1.007388 out of range, clamping
[AUDIT] ⚠️  Value 1.006380 out of range, clamping
[AUDIT] ⚠️  Value 1.005374 out of range, clamping
[AUDIT] ⚠️  Value 1.004369 out of range, clamping
[AUDIT] ⚠️  Value 1.003364 out of range, clamping
[AUDIT] ⚠️  Value 1.002361 out of range, clamping
[AUDIT] ⚠️  Value 1.001358 out of range, clamping
[AUDIT] ⚠️  Value 1.000357 out of range, clamping
tick,avg_coherence,phase_drift
1,0.000636,1.000000
2,0.000637,1.000000
3,0.000637,1.000000
4,0.000638,1.000000
5,0.000639,1.000000
6,0.000639,1.000000
7,0.000640,1.000000
8,0.000641,1.000000
9,0.000641,1.000000
10,0.000642,1.000000
11,0.000643,1.000000
12,0.000643,1.000000
13,0.000644,1.000000
14,0.000645,1.000000
15,0.000645,1.000000
16,0.000646,1.000000
17,0.000646,1.000000
18,0.000647,1.000000
19,0.000648,1.000000
20,0.000648,1.000000
21,0.000649,1.000000
22,0.000650,1.000000
23,0.000650,1.000000
24,0.000651,1.000000
25,0.000652,1.000000
26,0.000652,1.000000
27,0.000653,1.000000
28,0.000654,1.000000
29,0.000654,1.000000
30,0.000655,1.000000
31,0.000656,1.000000
32,0.000656,1.000000
33,0.000657,1.000000
34,0.000658,1.000000
35,0.000658,1.000000
36,0.000659,1.000000
37,0.000660,1.000000
38,0.000660,1.000000
39,0.000661,1.000000
40,0.000662,1.000000
41,0.000662,1.000000
42,0.000663,1.000000
43,0.000664,1.000000
44,0.000664,1.000000
45,0.000665,1.000000
46,0.000665,1.000000
47,0.000666,1.000000
48,0.000667,1.000000
49,0.000667,1.000000
50,0.000668,1.000000
51,0.000669,1.000000
52,0.000669,1.000000
53,0.000670,1.000000
54,0.000671,1.000000
55,0.000672,1.000000
56,0.000672,1.000000
57,0.000673,1.000000
58,0.000674,1.000000
59,0.000674,1.000000
60,0.000675,1.000000
61,0.000676,1.000000
62,0.000676,1.000000
63,0.000677,1.000000
64,0.000678,1.000000
65,0.000678,1.000000
66,0.000679,1.000000
67,0.000680,1.000000
68,0.000680,1.000000
69,0.000681,1.000000
70,0.000682,1.000000
